,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_tmin,Ulugöl Tabiat Parkı - Ordu_tmax,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2023-08-01,19.39,0.0,0.0,0.0,10.75,25.42,8.94,64.11
2023-08-02,20.92,0.12,0.0,0.12,13.99,26.69,10.75,62.94
2023-08-03,19.75,0.0,0.0,0.0,14.21,25.96,10.44,65.08
2023-08-04,19.59,0.0,0.0,0.0,12.8,25.13,11.08,65.27
2023-08-05,20.6,0.0,0.0,0.0,12.14,27.26,9.96,70.42
2023-08-06,22.4,0.0,0.0,0.0,14.48,29.23,10.64,62.16
2023-08-07,22.17,0.0,0.0,0.0,15.98,30.12,12.47,59.36
2023-08-08,22.29,0.35,0.0,0.35,15.41,28.34,11.02,67.86
2023-08-09,19.37,0.53,0.0,0.53,15.07,25.07,16.24,74.74
2023-08-10,21.18,3.65,0.0,3.65,15.76,26.18,12.11,73.24
2023-08-11,20.21,2.69,0.0,2.69,15.55,25.64,13.03,72.68
2023-08-12,19.37,11.0,0.0,11.0,15.09,23.5,13.6,78.95
2023-08-13,20.76,1.08,0.0,1.08,14.77,26.33,9.26,69.73
2023-08-14,22.62,0.0,0.0,0.0,15.27,29.08,9.96,61.05
2023-08-15,22.25,0.0,0.0,0.0,14.74,28.52,10.42,54.22
2023-08-16,20.52,0.0,0.0,0.0,12.26,26.72,8.11,62.53
2023-08-17,20.63,0.0,0.0,0.0,13.29,26.45,8.85,66.37
2023-08-18,20.62,0.0,0.0,0.0,13.64,25.83,11.56,65.04
2023-08-19,19.19,0.0,0.0,0.0,13.12,25.4,10.39,70.47
2023-08-20,18.53,0.19,0.0,0.19,12.02,24.6,9.69,69.8
2023-08-21,19.28,0.0,0.0,0.0,12.29,24.91,9.84,71.15
2023-08-22,19.77,0.35,0.0,0.35,12.7,25.02,10.61,64.85
2023-08-23,19.49,0.0,0.0,0.0,11.56,25.2,10.58,62.62
2023-08-24,17.64,0.42,0.0,0.42,11.63,23.52,10.94,66.08
2023-08-25,17.71,0.0,0.0,0.0,11.37,22.67,14.61,66.82
2023-08-26,16.72,0.0,0.0,0.0,10.11,23.9,11.09,60.19
2023-08-27,17.57,0.12,0.0,0.12,9.98,24.3,11.01,68.0
2023-08-28,17.47,0.43,0.0,0.43,12.95,21.41,12.18,75.71
2023-08-29,18.03,1.11,0.0,1.11,14.07,22.97,18.15,71.89
2023-08-30,18.51,0.0,0.0,0.0,11.1,25.71,10.13,63.89
